"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"Car2",3.8518221697699,4.38632789951372,4.96627568849528,4.67062321096271,4.45247871155758,4.06178982507641,4.02400505123676,4.73239158199571,5.29090897886377,6.63375196787014,5.22998851820839,5.88838432644658,5.4121080059324,4.75790249870713,5.93279144171084
"Cd36",8.22739330014799,7.08166664513174,8.94614846854453,8.47180913372333,7.47951355364008,7.08253971509417,7.17528041696827,7.1281223486127,10.0517986076238,7.32921889684173,9.02101228945298,10.4089175364826,9.14161474502605,9.19550221462212,11.1233021891029
"Cd48",4.67325516108677,4.7415034180525,5.81537034661242,5.02973544028677,5.02559055345402,4.84660119848934,4.90244312722579,5.32906387855081,6.39929197938311,4.99263640092664,5.29397953154169,5.98705360335922,5.72267160353444,6.68639227312374,7.71106180083401
"Cdo1",6.57703427333799,5.88399783426098,7.32358702607807,6.74906427829392,7.86465132017544,6.1674249725609,6.71191597126,6.71458598273765,9.01593501689365,7.202655833923,8.30358503384891,9.37809015105593,8.50347679503718,7.82282773618632,10.7700873103946
"Cebpa",4.07265625870455,4.40560611479663,5.6579775375151,5.08288729620689,5.2582060658146,4.41395190294318,4.69544067974091,4.90710618166743,7.13291664327158,4.79446816561553,5.62481990109719,6.83306268648697,5.92688183567681,6.12525539426133,8.06021938361026
"Chil1",3.03966930692523,3.17795140561937,3.23215357592171,3.25798925044467,3.01455038326194,3.64418047328781,3.60894011706081,3.1699855646583,4.24335347965621,3.57990083267684,3.95800713871594,4.43028421746043,4.53921622962127,4.34182833244939,5.55756241103564
"Elovl3",3.92041104741196,2.83650335089265,3.84545669597112,3.75695443078996,3.86847285424846,2.80640248437326,2.27523305748287,3.19948267703545,6.92294681250565,3.49612949176758,7.22909841073538,8.00140020628058,4.6355180166994,6.33790109003626,8.84909020141383
"Ccr5",3.9463343838732,3.48766884009046,4.33476776576373,3.99537983657947,3.99269156273741,3.91955189602488,3.46094126982401,4.15915362563283,4.94508466498246,3.4495305432042,4.46753098014506,5.02340591620554,4.32504994988991,5.08836363583367,6.30692366045579
"Col8a1",6.07957154839089,6.045727287249,6.04753305277775,6.07574970914028,6.77212010021798,5.82148693327456,6.08821179383078,5.81331328770338,5.70694321081605,5.68814465923209,5.17134772696871,5.1658559276432,5.25733708977823,5.4365411578364,4.8202998918007
"Cox8b",4.97541662378833,2.37013766269008,6.23106923280542,4.16369360078394,3.91870774060073,3.23432652835126,3.27376279481468,3.2158986264101,7.69867501382514,3.57269193179562,6.38717683905587,7.46236749551147,5.81656818710193,5.89766905508709,8.90033618646711
"Csf1r",7.13505473194826,6.90698419801476,7.79287903858062,7.54756134753139,7.39102590539126,7.19551927819265,6.81863093918166,7.94194296858214,9.44858774905688,7.07101168487903,7.62650698867178,8.50164291689888,8.15997284882983,8.70821380225147,9.49704936078106
"Csf2rb2",5.79219587956491,5.57495182660097,6.66919448326332,6.18387319400755,5.78978919181,5.79327913633395,5.98698094543805,5.97598415426389,6.6022252859232,5.48299775822729,6.24234134068423,6.89359118514524,6.22113630570984,7.40930192370121,8.32512892704987
"Ctsc",7.66562816507216,8.0955406918067,8.54698287296982,8.37963770658889,8.25384036544486,8.55253024468117,8.22027847189323,9.29614321566503,9.66662934115906,8.50957220790162,9.0541320859532,9.43643052253682,8.87478687956366,9.29167199951234,10.3361847305719
"Ctss",8.79029543113829,8.25569564226326,9.37802940095998,9.0768113618755,8.81367779198724,8.29421883876104,8.34296065336036,9.56413909573267,10.6818680164366,8.63854498399976,9.64172790628921,10.3556584837073,9.35209486718967,10.5836555558736,11.4701059424399
"Cybb",6.98047949781775,6.86151643513499,8.29494927019227,7.74153685184343,7.70153220128684,7.38274946765091,7.53934200203761,8.34238094766872,9.4661222555249,7.35876465771784,8.36904055363466,8.87929432250429,8.2028288175239,9.44397604577192,10.8476883477595
"Slc25a1",8.17658715853208,7.88921239286628,8.27382739169899,7.98377354081249,8.19126159992919,7.92694940736341,7.9314489283808,8.04279144733257,8.85202188395389,7.97331285032375,8.79964796435913,9.47667268101237,8.86673235524024,8.67603370633253,10.2333731679755
"Dnase1l3",3.87564044138165,3.299734986249,4.90553169351866,4.12136759680281,4.81405918313873,3.88888342093493,4.47495825535411,6.02609521324594,7.8016594995064,3.83410090869187,6.70149449915831,7.35024012803668,5.41407639545214,7.08106835216638,7.93373064430398
"Dpep1",4.09767194502696,3.20677295273807,4.63187482350576,4.04235828558006,4.07114083836404,3.48789738641539,3.6897197672653,3.7182336528243,5.19439300087114,4.66935549231208,4.60499957568179,5.21955667396046,4.68781985279096,5.58182495462559,7.34350319383894
"Epha7",7.49224934877142,7.77321545516824,7.67146360347997,7.69692363912741,7.83694496005023,8.4607963498391,7.77010041143429,7.93293278724759,7.73088809492546,8.2481895342131,7.97803099536613,6.8991913596772,7.42460253875265,7.64343138699372,6.0592028866077
"F10",4.77248429016156,4.44760962882001,5.30548182986654,5.22389163942522,5.87983827194645,4.85182915522701,4.49066490607916,4.76632836000032,5.99020619004661,4.78696758972275,5.47481772624966,7.1719082356111,5.32782222581123,7.23702372469221,7.28280431230342
"Fcer1g",8.77173052465246,8.62455845007278,9.20773945248175,9.20580973924145,8.98042163436114,9.11996119470361,8.54597229840832,9.74389142732446,10.2073246688227,9.12128935301324,9.35585804565321,9.83812513655132,9.62048155627722,9.9562235617467,10.7910586124446
"Fcgr2b",6.30590647875536,6.05553295123014,6.92291882559738,6.72247376280894,6.40737553171916,5.19083254751544,5.84642351639038,5.73729158298234,7.61363709943185,6.15906758584138,7.37083984383222,7.33584069920672,6.21857756892588,8.01175913692234,8.61837555523933
"Folr2",5.86202716411694,5.22499770080166,6.08608488608487,5.67937394521847,4.97637093075422,4.9876997865887,4.8175458835739,5.33121064879536,6.27102135079104,5.66237486406406,5.97877199823121,5.80117662492051,5.87389395432306,5.74929706688568,6.57570468113811
"Fpr2",1.14761735888321,2.81208564957179,2.62495965741494,2.44077234611049,3.13651057661248,2.87112329030585,1.93131398140071,4.15894299341655,4.90593819709442,2.39459200785042,4.76004434143093,4.15529608145357,4.17654563353635,4.74398078553924,6.70280585389575
"Cidec",5.36289351935402,4.44783365808334,6.71434189865224,5.99573818601857,6.40508251081421,4.53421808887316,6.20442477850273,4.69266761842489,9.05846363015688,5.18825290403643,8.36247682384823,9.88374690404326,8.82105453482053,7.53296743142031,10.5424519411375
"Gabra4",5.90536915087635,5.42432516184481,4.64518553232224,5.04688694584875,4.2383343849096,2.91214647181695,4.49355576707152,5.0437630767837,4.69663714447796,5.53039325570697,4.32688351688448,5.45400740623073,5.62146421980358,5.44205311227117,5.29602875789041
"Gas7",3.81601741548103,3.99579742500131,4.3905509019149,3.60677418278105,3.77305790880952,3.69228367977541,3.46643177399891,3.96086259017486,4.3132685721165,3.44644166672236,4.4663592669006,4.93992757986345,4.10365202317144,4.87545707414743,5.33821974988952
"Gbp2b",4.02353890204718,4.7732031719434,5.51578162630054,4.77438727906066,5.77754280247678,4.46206414506963,5.38917371647024,6.6133995405468,8.57771469005762,4.45502092174123,7.64571415790908,8.07354795780047,6.7055406162616,8.22759398498439,8.90377501606991
"Gbp2",4.17099780065216,3.91603804022959,5.1149474457326,4.93298882183852,5.34929031404569,3.64490953785026,4.53723498944552,6.1184526812662,7.69766291944284,4.00471098728557,7.18140262162229,7.34627340666351,6.27752859787389,7.36497441286241,8.39861318278654
"Gpd1",6.73734451048786,5.34607393141304,8.04828663973625,7.76583755999871,7.75146779788074,6.11570747209453,6.86193846510352,5.70647101704663,10.6535401597259,6.65591396093081,9.94084561701822,10.6847892798334,9.31656924704986,10.2053724365027,11.4152095497313
"Gm2a",8.30371577503542,8.26969564066415,9.19913225831424,8.92097265618278,8.67830320925886,8.28692925263792,8.4376607836935,8.87938438016429,10.0786736650701,8.36661285690233,9.70679974694868,9.98224930205773,9.03687302767493,9.99377678136203,11.0037267073252
"Lilr4b",5.62542031512486,5.32227436865765,5.67123276076513,6.118186588048,5.61007249321971,6.00763011922035,5.53265367734858,5.71712394782044,6.60339278161775,5.0914239346778,6.6398875067004,7.1213322424616,6.60707304919626,7.04710800693352,7.96788467365705
"Lilrb4a",8.55689045126277,8.61643045083618,8.95819622152489,8.82112052939192,8.80324169481742,8.49542726428485,8.39175489276826,9.00404152077192,9.61421841697824,8.66327960550087,9.29997316811462,9.64741928698571,9.17106153869078,9.83233094765944,10.8157918995843
"Gpr65",5.7107894063493,6.07938652237643,6.45817120292011,6.36928403609604,6.21522180553314,6.09220223898064,5.90470994348507,7.01948453422704,7.99479375061782,6.12015475631539,6.60553686799403,7.15900831917594,7.06204753299937,7.60829984926491,8.44592505321878
"Gzma",2.591221957939,2.11489116757097,2.19282512141051,2.25268945115921,2.60951481810025,2.10176195374781,2.42507474502141,2.68239138373909,4.00114423803738,2.19005123402837,2.6317572829904,3.79416676656764,2.95507507527818,4.19179212775827,3.7310886555159
"Gzmb",2.3699161634977,3.08501982579603,2.7000974325819,2.63386962727792,3.10685781554937,2.03654702733765,2.53270560036104,3.43398046867242,5.2226561548995,2.84707911240465,4.12627605362005,4.36464958911762,3.31355203290478,4.66373384353584,5.10644965117112
"H2-Aa",7.04125814595568,5.72730135966622,8.41142957153473,6.51663226074848,6.70771123853221,4.90980762257681,7.01085803868494,8.16683287892106,9.68368330532734,5.56277615140914,8.67206182367083,9.19985081251395,7.73317902644911,9.55716429824227,10.0012487659182
"H2-Ab1",8.77838729667603,7.11357273056663,10.4048934452093,8.40081005980741,8.50141824115993,6.40623796098505,8.53100632424878,10.1653506745446,11.8069549110291,7.27210654384865,10.6177732886252,11.334952513037,9.56258192263047,11.5480209355139,12.1771299673314
"Cfb",4.37070251794693,4.26180873536906,5.86316863048951,4.66721531231413,6.06221596140201,4.50343388530586,5.5303436743726,6.03721956350588,7.50592439132663,4.78315195458606,6.54882457341956,7.54950405760823,6.05707088139178,7.64200158181635,8.73311565286792
"H2-Eb1",7.50116401810111,6.60582952930505,9.11898539065796,7.42943588818126,7.16761335654403,6.07805021726984,7.24464444479792,8.37243262403874,10.5324247395998,6.11085117078465,9.26642054680357,10.016280661463,8.06793662060964,10.1046036885185,10.9238135856819
"H2-M2",4.00932640276471,3.78021086012538,5.73014632246051,4.18936386948428,4.42219036477206,3.71667359086398,4.51829720561317,5.05856015996583,8.3917253007631,4.41537386291581,6.28877142205306,8.11843451123957,4.88479012366908,8.31758639753521,9.51175291145481
"H2-M3",4.97673161463101,4.59942716282105,5.31006169971954,4.33011244535788,4.83944104629679,4.56942899270479,4.91452096999269,5.22246288442314,5.71463151914566,4.87761319155742,5.11832811938696,5.77589597973146,5.14650815412903,5.92971062311004,7.21213676588975
