"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"17277666",3.98960052206918,3.93659379915559,4.15136028390102,4.0269322278358,3.73658057618033,3.43625577051551,3.75141756817403,3.36173696595234,3.49143239502781,3.70257038687753,3.51200066614235,4.21996804850682,3.5151740526627,4.47123021810358,4.09204257085609
"17404993",3.84378725849489,3.01349941911007,4.24441560088721,3.83314594242564,3.01543957753371,3.48256271113703,4.32103909047363,4.25884951858493,4.08842199158956,3.9815712811078,3.59146163964859,3.96201030465399,3.87225723180805,3.13085340329637,2.59173910174218
"17277679",4.08262207108931,4.83228246961831,4.08423191782672,4.60444200618872,3.37173124312076,4.18579456857278,4.52409112978202,4.22348287603937,4.41035837001428,4.1693526574606,4.68010094303499,3.84599822502491,4.41198480377911,3.81440564513077,4.32966425940867
"17424452",3.78493294886763,2.91753368104746,3.27496687344027,3.78955498259666,3.58964275499815,2.79774462306498,3.9551459911567,3.1418691320308,4.08102488315174,3.46189048062441,3.72413320407193,3.60014921917508,3.28855782206597,4.16851111127899,3.53521874083648
"17425978",3.49019736395895,4.32857568172733,4.04235828558006,3.10220198941436,7.25346124363618,3.66820261172451,3.11075329196523,3.30345701807766,3.76792848134992,3.48176718074625,4.12871961033928,6.19621909296217,4.01985266552199,3.96695697603326,7.76844971736483
"17371088",2.35767674615106,2.03819075453393,1.97801525814577,2.73742409757785,2.15862697327244,2.23988549953703,2.61103507455247,2.1332604193202,2.15455443620562,2.69055032587965,2.40931758927176,2.12709197947367,2.20275991639613,1.78856173781476,2.8647887975347
"17479913",6.08674423452455,6.29033728282096,5.4918878479462,6.27363639263125,5.80705962649792,5.41631200096763,5.7973214146383,5.71783664230946,5.56587009478952,3.67257768497596,6.36411812594218,6.12256963866773,6.71064292588189,5.70355931115614,5.53046136989645
"17537345",4.52478662345338,4.01492243584012,4.40021449907456,3.86532165388828,4.08798767924661,4.7587815998843,4.0508446691235,3.91181110911717,4.01675498073714,4.0508446691235,3.65069467868491,3.73431180201357,4.0346219946458,4.68706750972512,3.87448304857616
"17221197",3.0255982100287,3.80023019071986,4.35797273100435,3.76906233741862,5.75947442758531,9.55836037203696,4.00901534718999,3.50430965261711,3.52237467007514,2.53151753664251,11.0882011124107,4.15440735453335,6.12261196611454,3.12595897778545,5.33267535500575
"17424762",4.42607498124706,4.87206479632963,4.84978011834237,4.64254639531078,4.05480353859019,5.0113757095859,4.57378464976367,4.00840732540036,4.29014777103026,4.00090307692595,4.50556188956381,4.63363134491192,4.33619630958144,4.5133143750722,4.33627807585964
"17520116",2.88154490521145,2.74813042420861,3.77267539362119,2.96427138098218,3.4884770678636,2.8853567096456,3.19160091114836,2.63151275782906,2.84549817766926,3.58888835374648,3.10685781554937,3.89965435843393,2.7501493490447,3.40076444603255,3.10685781554937
"17289382",3.16450903074308,3.07641667708716,3.03001311176962,3.01793219873571,3.3003664083448,3.6728174414851,3.21456627335191,3.49121519078997,3.62443228737173,3.14356918175784,3.71996691447526,3.2722879765525,3.60716561703625,3.50313019351437,3.23909126673287
"17268098",2.19963474810322,2.25832742351455,1.98435439383093,2.65167084102839,2.21111666523465,2.32452039389079,2.57146543908883,2.21332904514597,2.29450598399213,2.24755041185497,1.79995353705515,1.85011360924181,2.09190734436079,3.05827555399005,2.85673401922994
"17413458",5.1315100281202,4.96741863293408,5.25299247910914,4.95572335160681,4.82905184220139,4.57394803851296,5.06738964822701,4.61065094085149,5.24204479254483,4.83442052673368,4.53158405192336,5.1007928830252,5.04046155856945,4.82836393088904,5.24540042917524
"17214910",2.48038813020016,3.1809748307875,3.71599118799283,3.39211931986688,2.06178706893378,2.41456737189933,3.4944406557424,3.21915915957397,4.1112558750616,3.6038107658732,2.71611084220528,3.71634329042446,2.95450138387858,2.68020086711956,3.47984484382778
"17219053",4.20231656289898,4.16130960259355,4.21023879402262,4.40953854673536,4.29649677494847,3.51775728219348,4.60378035851922,4.28032267842651,4.80212343782738,3.14353095726028,4.43794996759475,5.077470748006,4.64901237852865,5.01403531942012,4.68349079109475
"17444851",3.468756908063,3.52249567842155,3.40102027283368,3.71734821923225,4.00832408930045,3.73218355494833,3.50416160049336,3.73909490441823,3.36219100581533,4.03238794377061,3.54389168896607,4.01850173737984,3.78887835636624,3.97161545179254,3.61541202509497
